Date,Fed Rate,unemployment,sp500,nasdaq
2006-01-01,4.29,4.7,1278.723,2287.434033
2006-02-01,4.49,4.8,1276.6452631578948,2283.47003175
2006-03-01,4.59,4.7,1293.74,2305.2825315
2006-04-01,4.79,4.7,1302.1836842105263,2332.6400755
2006-05-01,4.94,4.6,1290.0,2242.0020018
2006-06-01,4.99,4.6,1253.1213636363636,2139.64251725
2006-07-01,5.24,4.7,1260.2395000000001,2073.3979984
2006-08-01,5.25,4.7,1287.151304347826,2138.77746575
2006-09-01,5.25,4.5,1317.8049999999998,2219.68499775
2006-10-01,5.25,4.4,1363.3845454545453,2336.1980468
2006-11-01,5.25,4.5,1388.6319047619047,2427.26251225
2006-12-01,5.24,4.4,1416.42,2427.75750725
2007-01-01,5.25,4.6,1424.1615,2459.95
2007-02-01,5.26,4.5,1444.7947368421053,2459.80755625
2007-03-01,5.26,4.4,1406.9522727272727,2407.6949465
2007-04-01,5.25,4.5,1463.6475,2523.805957
2007-05-01,5.25,4.4,1511.1368181818182,2572.94494625
2007-06-01,5.25,4.6,1514.4895238095237,2598.10998525
2007-07-01,5.26,4.7,1520.7047619047619,2626.9200195999997
2007-08-01,5.02,4.6,1454.6169565217392,2555.7424925
2007-09-01,4.94,4.7,1497.1163157894737,2635.1499635
2007-10-01,4.76,4.7,1539.6591304347828,2785.1459472
2007-11-01,4.49,4.7,1463.385238095238,2630.6849975
2007-12-01,4.24,5.0,1479.2285,2642.599951
2008-01-01,3.94,5.0,1378.7642857142857,2379.88000475
2008-02-01,2.98,4.9,1354.8725,2300.37005625
2008-03-01,2.61,5.1,1316.943,2263.0499998
2008-04-01,2.28,5.0,1370.469090909091,2398.28247075
2008-05-01,1.98,5.4,1403.217619047619,2485.4249879999998
2008-06-01,2.0,5.6,1341.2509523809524,2379.2319826
2008-07-01,2.01,5.8,1257.3263636363636,2285.83752425
2008-08-01,2.0,6.1,1281.472380952381,2412.21252475
2008-09-01,1.81,6.1,1217.0085714285715,2184.3559816
2008-10-01,0.97,6.5,968.8008695652173,1658.44500725
2008-11-01,0.39,6.8,883.0405263157895,1521.0424805
2008-12-01,0.16,7.3,877.5618181818182,1555.3599854
2009-01-01,0.15,7.8,865.5755000000001,1513.65750125
2009-02-01,0.22,8.3,805.2273684210526,1486.284973
2009-03-01,0.18,8.7,757.1268181818182,1469.9379884
2009-04-01,0.15,9.0,848.1519047619047,1684.77499375
2009-05-01,0.18,9.4,902.4084999999999,1721.36999525
2009-06-01,0.21,9.5,926.1149999999999,1834.086011
2009-07-01,0.16,9.5,935.8213636363636,1896.77499375
2009-08-01,0.16,9.6,1009.724761904762,2010.8440186
2009-09-01,0.15,9.8,1044.5523809523809,2088.1975095
2009-10-01,0.12,10.0,1067.6636363636362,2123.9150085
2009-11-01,0.12,9.9,1088.069,2151.8299804000003
2009-12-01,0.12,9.9,1110.3777272727273,2239.20996075
2010-01-01,0.11,9.8,1123.5815789473684,2239.45001225
2010-02-01,0.13,9.8,1089.16,2201.69506825
2010-03-01,0.16,9.9,1152.0486956521738,2373.2259765999997
2010-04-01,0.2,9.9,1197.3161904761905,2481.6624755000003
2010-05-01,0.2,9.6,1125.0635,2263.5479982
2010-06-01,0.18,9.4,1083.360909090909,2217.1675415
2010-07-01,0.18,9.4,1079.8033333333333,2224.9174805000002
2010-08-01,0.19,9.5,1087.2822727272726,2205.8179688
2010-09-01,0.19,9.5,1122.0819047619048,2327.5150145
2010-10-01,0.19,9.4,1171.5838095238094,2464.36993425
2010-11-01,0.19,9.8,1198.8885714285714,2548.2660155999997
2010-12-01,0.18,9.3,1241.5254545454545,2649.74505625
2011-01-01,0.17,9.1,1282.6185,2720.8399904
2011-02-01,0.16,9.0,1321.117894736842,2802.27746575
2011-03-01,0.14,9.0,1304.4860869565218,2722.9850465
2011-04-01,0.1,9.1,1331.5049999999999,2809.69244375
2011-05-01,0.09,9.0,1338.3104761904763,2797.7980468
2011-06-01,0.09,9.1,1287.2886363636362,2682.2824705000003
2011-07-01,0.07,9.0,1325.1845,2816.20501725
2011-08-01,0.1,9.0,1185.305652173913,2468.4820312
2011-09-01,0.08,9.0,1173.8790476190475,2497.23248275
2011-10-01,0.07,8.8,1207.2161904761906,2641.5919922000003
2011-11-01,0.08,8.6,1226.4142857142858,2579.9224855
2011-12-01,0.07,8.5,1243.3228571428572,2606.49249275
2012-01-01,0.08,8.3,1300.5774999999999,2778.759961
2012-02-01,0.1,8.3,1352.4875,2948.89996325
2012-03-01,0.13,8.2,1389.24,3050.772522
2012-04-01,0.14,8.2,1386.429,3023.5640136
2012-05-01,0.16,8.2,1341.2727272727273,2824.405029
2012-06-01,0.16,8.2,1323.4842857142858,2889.6724855
2012-07-01,0.16,8.2,1359.7761904761905,2939.4180176
2012-08-01,0.13,8.1,1403.4404347826087,3058.55004875
2012-09-01,0.14,7.8,1443.4194736842105,3154.1399535
2012-10-01,0.16,7.8,1437.8166666666668,3031.1999998
2012-11-01,0.16,7.7,1394.5123809523811,2933.772522
2012-12-01,0.16,7.9,1422.2855,3006.4700196
2013-01-01,0.14,8.0,1480.395238095238,3147.28747575
2013-02-01,0.15,7.7,1512.3115789473686,3179.3650509999998
2013-03-01,0.14,7.5,1550.8290000000002,3251.49005125
2013-04-01,0.15,7.6,1570.7022727272727,3272.552002
2013-05-01,0.11,7.5,1639.8427272727274,3462.6499635
2013-06-01,0.09,7.5,1618.7725,3413.3200075
2013-07-01,0.09,7.3,1668.6754545454546,3593.9640136000003
2013-08-01,0.08,7.2,1670.0936363636363,3627.637573
2013-09-01,0.08,7.2,1687.1735,3749.2520019999997
2013-10-01,0.09,7.2,1720.0265217391304,3892.887573
2013-11-01,0.08,6.9,1783.541,3989.1849365
2013-12-01,0.09,6.7,1807.7752380952381,4091.3480468000002
2014-01-01,0.07,6.6,1822.3566666666666,4151.07495125
2014-02-01,0.07,6.7,1817.0347368421055,4235.3525389999995
2014-03-01,0.08,6.7,1863.5233333333333,4228.3799804
2014-04-01,0.09,6.2,1864.2633333333333,4073.67749025
2014-05-01,0.09,6.3,1889.767142857143,4147.72259525
2014-06-01,0.1,6.1,1947.0876190476188,4376.790039
2014-07-01,0.09,6.2,1973.1,4412.460083
2014-08-01,0.09,6.1,1961.5319047619046,4488.662475749999
2014-09-01,0.09,5.9,1993.2261904761904,4543.6200194
2014-10-01,0.09,5.7,1937.2743478260868,4412.285156
2014-11-01,0.09,5.8,2044.572105263158,4706.4174805
2014-12-01,0.12,5.6,2054.2663636363636,4746.6819338000005
2015-01-01,0.11,5.7,2028.1785,4682.892456
2015-02-01,0.11,5.5,2082.1957894736843,4889.4349365
2015-03-01,0.11,5.4,2079.9904545454547,4920.7419922
2015-04-01,0.12,5.4,2094.862857142857,5006.3150635
2015-05-01,0.12,5.6,2111.9435,5052.807373
2015-06-01,0.13,5.3,2099.283636363636,5065.2559572
2015-07-01,0.13,5.2,2094.1436363636367,5106.1875
2015-08-01,0.14,5.1,2039.8661904761907,4862.012011600001
2015-09-01,0.14,5.0,1944.4023809523808,4760.96240225
2015-10-01,0.12,5.0,2024.8127272727272,4950.69250475
2015-11-01,0.12,5.1,2080.6165,5089.9419924
2015-12-01,0.24,5.0,2054.0795454545455,4978.11267075
2016-01-01,0.34,4.8,1918.5978947368421,4584.295044
2016-02-01,0.38,4.9,1904.4185000000002,4502.5140628
2016-03-01,0.36,5.0,2021.9540909090908,4808.040039
2016-04-01,0.37,5.1,2075.535238095238,4867.62499975
2016-05-01,0.37,4.8,2065.5509523809524,4819.8840822
2016-06-01,0.38,4.9,2083.8913636363636,4816.35986325
2016-07-01,0.39,4.8,2148.902,5062.15991225
2016-08-01,0.4,4.9,2177.4821739130434,5232.2419922
2016-09-01,0.4,5.0,2157.6909523809527,5247.057495
2016-10-01,0.4,4.9,2143.0209523809526,5200.086035
2016-11-01,0.41,4.7,2164.985714285714,5303.29736325
2016-12-01,0.54,4.7,2246.6290476190475,5431.8675535
2017-01-01,0.65,4.7,2275.116,5595.6120118
2017-02-01,0.66,4.6,2329.9105263157894,5822.192505
2017-03-01,0.79,4.4,2366.822173913043,5875.8026119999995
2017-04-01,0.9,4.4,2359.3094736842104,5910.2724610000005
2017-05-01,0.91,4.4,2395.345909090909,6164.3359374
2017-06-01,1.04,4.3,2433.9854545454546,6191.3374025
2017-07-01,1.15,4.3,2454.1025,6315.9081056
2017-08-01,1.16,4.4,2456.223043478261,6293.51501475
2017-09-01,1.15,4.3,2492.841,6432.88500975
2017-10-01,1.15,4.2,2556.997272727273,6658.1458986
2017-11-01,1.16,4.2,2593.6057142857144,6817.619995
2017-12-01,1.3,4.1,2664.3405,6910.0025635
2018-01-01,1.41,4.0,2789.8038095238094,7296.1440432
2018-02-01,1.42,4.1,2705.1552631578948,7177.30517575
2018-03-01,1.51,4.0,2702.7738095238096,7274.7301025
2018-04-01,1.69,4.0,2653.625238095238,7099.4619139999995
2018-05-01,1.7,3.8,2701.4936363636366,7436.349975749999
2018-06-01,1.82,4.0,2754.3528571428574,7648.752319499999
2018-07-01,1.91,3.8,2793.6433333333334,7776.8
2018-08-01,1.91,3.8,2857.8204347826086,7927.73999
2018-09-01,1.95,3.7,2901.5005263157896,7986.4725342500005
2018-10-01,2.19,3.8,2785.4647826086957,7451.714062399999
2018-11-01,2.2,3.8,2723.229523809524,7231.0725095
2018-12-01,2.27,3.9,2567.3073684210526,6707.2560545999995
2019-01-01,2.4,4.0,2607.3900000000003,7139.359985
2019-02-01,2.4,3.8,2754.8642105263157,7473.375122
2019-03-01,2.41,3.8,2803.9838095238097,7617.164917
2019-04-01,2.42,3.6,2903.8,8046.262011600001
2019-05-01,2.39,3.6,2854.7059090909092,7705.8448485
2019-06-01,2.38,3.6,2890.166,7894.17761225
2019-07-01,2.4,3.7,2996.1136363636365,8177.3399412
2019-08-01,2.13,3.7,2897.498181818182,7892.4450685
2019-09-01,2.04,3.5,2982.156,8063.909961
2019-10-01,1.83,3.6,2977.675217391304,8194.0251465
2019-11-01,1.55,3.6,3104.9044999999996,8550.3723145
2019-12-01,1.55,3.6,3176.749523809524,8868.751953
2020-01-01,1.55,3.5,3278.202857142857,9258.412842
2020-02-01,1.58,3.5,3277.314210526316,9348.91235375
2020-03-01,0.65,4.4,2652.3936363636367,7641.0959962
2020-04-01,0.05,14.7,2761.975238095238,8510.797363
2020-05-01,0.05,13.2,2919.6150000000002,9237.584961
2020-06-01,0.08,11.0,3104.6609090909087,9862.771875
2020-07-01,0.09,10.2,3207.6190909090906,10557.27001975
2020-08-01,0.1,8.4,3391.71,11270.167969
2020-09-01,0.09,7.9,3365.516666666667,10908.85229475
